date_start,date_end,event
2011-11-05,2011-11-13,"чемпионат мира по тяжёлой атлетике (Париж, Франция). Победу одержала сборная Китая."
2011-11-06,,Президентские и парламентские выборы в Никарагуа. Победу одержал действующий президент Даниэль Ортега.
2011-11-06,,"Президентские выборы в Гватемале. По предварительным данным, победу одержал Отто Перес Молина."
2011-11-07,,Премьер-министр греции георгиос папандреу подал в отставку.
2011-11-08,,Запущена первая нитка газопровода «северный поток».
2011-11-09,,"На расстоянии 325,1 тыс. км от центра земли пролетел 400-метровый астероид 2005 yu55."
2011-11-11,,Новым премьер-министром Греции стал Лукас Пападимос.
2011-11-11,,Объявлены семь новых чудес природы.
2011-11-12,,Премьер-министр италии сильвио берлускони ушёл в отставку.
2011-11-12,2011-11-13,"саммит АТЭС (Гонолулу, США)."
2011-11-13,,Выборы президента Южной Осетии и референдум о государственном статусе русского языка. Во второй тур вышли бывший министр образования Алла Джиоева и министр по чрезвычайным ситуациям Анатолий Бибилов.
2011-11-13,,Новым премьер-министром Италии утверждён Марио Монти.
2011-11-14,,"С космодрома байконур запущен союз тма-22 к мкс. экипаж старта — антон шкаплеров, анатолий иванишин, дэниел бёрбэнк (сша). последний запуск корабля модификации тма."
2011-11-15,,Президент казахстана нурсултан назарбаев объявил о роспуске мажилиса и назначил досрочные выборы парламента.
2011-11-18,,"Подписан договор о создании евразийского экономического пространства между россией, беларусью и казахстаном."
2011-11-20,,Досрочные выборы в парламент испании. победу одержала оппозиционная народная партия.
2011-11-21,,Правительство египта во главе с премьер-министром эссамом шарафом подало в отставку.
2011-11-22,,"Приземление космического корабля союз тма-02м. экипаж посадки — сергей волков, майкл фоссум (сша) и сатоси фурукава (япония)."
2011-11-25,,С космодрома байконур запущена ракета-носитель класса протон-м с китайским спутником связи азиасат-7.
2011-11-27,,"Второй тур выборов президента Южной Осетии. По предварительным данным, победу одержала Алла Джиоева."
2011-11-27,,Премьер-министром Йемена стал лидер оппозиции Мухаммад Басиндва.
2011-11-28,,"Выборы президента демократической республики конго. по предварительным данным, победу одержал действующий президент жозеф кабила."
2011-11-29,,Верховный суд южной осетии признал результаты президентских выборов в республике недействительными.
2011-12-01,,На Украине началось телевещание в формате HDTV.
2011-12-01,,Алмазбек Атамбаев вступил в должность президента Кыргызстана.
2011-12-01,,Открыт Алматинский метрополитен (Казахстан).
2011-12-03,,"9-й детский конкурс песни евровидение (ереван, армения). победила группа candy из грузии."
2011-12-04,,Выборы в Государственную думу Федерального собрания Российской Федерации VI созыва.
2011-12-04,,В России начались протесты против фальсификации результатов выборов в Государственную думу РФ.
2011-12-04,,"Парламентские выборы в Словении. Большинство голосов получила оппозиционная партия «Позитивная Словения», с бывшим премьер-министром страны Янезом Янша во главе."
2011-12-04,,Парламентские выборы в Хорватии.
2011-12-06,,Премьер-министром бельгии утверждён лидер социалистической партии элио ди рупо.
2011-12-07,,Премьер-министр египта камаль аль-ганзури получил президентские полномочия.
2011-12-08,2011-12-18,клубный чемпионат мира по футболу (Япония).
2011-12-09,,"Введена в эксплуатацию мойнакская гэс (казахстан), первая высоконапорная гидроэлектростанция снг."
2011-12-10,,В России и за рубежом прошли акции протеста против итогов выборов в Государственную думу Федерального собрания Российской Федерации VI созыва России.
2011-12-10,,Президент Южной Осетии Эдуард Кокойты подал в отставку. Обязанности президента возложены на премьер-министра Вадима Бровцева.
2011-12-11,,Выборы президента приднестровской молдавской республики. второй тур выборов назначен на 25 декабря.
2011-12-12,,Введён в строй 4-й энергоблок калининской атомной станции (россия).
2011-12-14,,Подписано соглашение о безвизовом пересечении границ между калининградской областью и польшей.
2011-12-16,,Подписан протокол о вступлении России во Всемирную торговую организацию.
2011-12-16,,Выборы президента Молдовы.
2011-12-16,,"Беспорядки в казахстанском городе Жанаозен: подожжены административные здания, погибли 14 человек."
2011-12-17,,с космодрома Куру во Французской Гвиане запущена российская ракета-носитель класса Союз-СТА с шестью спутниками на борту.
2011-12-17,,"Скончался Великий руководитель КНДР Ким Чен Ир. Должность перешла к Ким Чен Ыну, как к Высшему руководителю КНДР. К Ким Чен Ыну также перешли титулы Верховного главнокомандующего Корейской народной армии."
2011-12-18,,Последние войска сша покинули территорию ирака.
