date_start,date_end,event
2000-07-02,,"На всеобщих выборах в мексике впервые с 1929 года президентом избран не кандидат институционно-революционной партии, а представитель правоцентристской партии национального действия (висенте фокс)."
2000-07-03,,Ликвидирована судебная палата по информационным спорам при президенте рф (независимый квазисудебный орган) под предлогом «оптимизации» структуры администрации.
2000-07-04,,Авария самолёта ту-154 под салониками (греция): никто из 94 человек на борту не пострадал.
2000-07-09,,"Взрыв на городском рынке владикавказа (северная осетия): 6 человек погибли, 18 ранены."
2000-07-09,2000-07-19,"В городах эммитсберг и балтимор (сша) прошла viii пленарная сессия смешанной международной комиссии по богословскому диалогу, тема: «экклесиологические и канонические предпосылки униатства»."
2000-07-10,,"При попытке незаконной врезки в нефтепровод на юге нигерии произошёл взрыв и пожар, погибли свыше 250 местных жителей."
2000-07-11,2000-07-25,По инициативе президента билла клинтона в кэмп-дэвиде (сша) прошли переговоры между премьер-министром израиля эхудом бараком и главой пна ясером арафатом об окончательном урегулировании конфликта. саммит завершился без соглашения.
2000-07-14,,Мощнейшая солнечная вспышка вызвала на земле геомагнитный шторм.
2000-07-16,,Принято решение об увеличении числа доменных зон интернета (расширение системы доменов верхнего уровня).
2000-07-17,2000-07-19,"Официальный визит президента россии в. путина в кнр: подписана пекинская декларация рф и китая, а также совместное заявление по вопросам противоракетной обороны."
2000-07-21,2000-07-23,На японском острове окинава прошёл ежегодный саммит «большой восьмёрки» (g8).
2000-07-25,,Катастрофа сверхзвукового авиалайнера «конкорд» при взлёте из аэропорта шарль-де-голль (париж): погибли все 109 человек на борту и 4 человека на земле.
2000-07-28,,В россии начала вещание новая музыкальная радиостанция love radio
2000-07-28,,В лиме (перу) акции протеста в день вступления альберто фухимори в третий президентский срок переросли в беспорядки (в ноябре фухимори ушёл в отставку и покинул страну).
2000-07-29,,В казахстане взорвана последняя штольня семипалатинского ядерного полигона (окончательное закрытие объекта).
2000-07-30,,"В венесуэле одновременно прошли общенациональные и региональные выборы: президент уго чавес переизбран (59,76% голосов)"
2000-07-30,,"На президентских выборах в израиле победил моше кацав (52,5%)."
2000-08-05,,"Принят федеральный закон рф «о порядке формирования совета федерации» (ранее, 29 июля и 4 августа, внесены поправки в законы об органах власти регионов и местном самоуправлении)"
2000-08-05,,"В. путин подписал вторую часть налогового кодекса рф, вводящую единую ставку подоходного налога 13%."
2000-08-07,,Открыта коммерческая онлайн-галерея и арт-сообщество deviantart.
2000-08-08,,"Взрыв бомбы в подземном переходе у станции метро «пушкинская» в москве (13 человек погибло, 118 ранено)"
2000-08-08,,"Учёные великобритании, сша и италии официально объявили о начале экспериментов по клонированию человека."
2000-08-10,,Совет безопасности оон принял резолюцию № 1315 о создании специального суда по сьерра-леоне.
2000-08-12,,В баренцевом море потерпела катастрофу российская атомная подводная лодка «курск»
2000-08-12,,В результате очередной бомбардировки авиацией сша и британии населённых объектов на юге ирака погибли несколько мирных жителей.
2000-08-13,,"В москве, в храме христа спасителя, открылся юбилейный архиерейский собор русской православной церкви."
2000-08-14,,Последний российский император николай ii канонизирован архиерейским синодом рпц.
2000-08-17,,"Два мощных взрыва прогремели на первом этаже универмага «centrs» в риге: около 30 человек пострадали, 1 женщина погибла."
2000-08-23,,"Самолёт airbus a320 авиакомпании gulf air упал в персидский залив близ бахрейна, погибли 143 человека"
2000-08-23,,В россии объявлен официальный день траура по погибшим подводникам апл «курск».
2000-08-27,,Пожар на останкинской телебашне (москва) нарушил теле- и радиовещание в столичном регионе (полностью восстановлено только к сентябрю 2001)
2000-08-27,,Али бенфлис назначен премьер-министром алжира.
2000-08-28,,"Россия и союзная республика югославия подписали соглашение о свободной торговле (югославия стала первой страной вне снг, заключившей с рф такой договор)."
2000-08-31,,"Во втором туре всеобщих выборов в эфиопии победила правящая коалиция рдфэн, получившая ~90% мест в парламенте."
2000-09-01,,"Президент россии в. путин учредил государственный совет рф, включающий руководителей всех субъектов федерации."
2000-09-03,,Создана украинская поп-группа «виа гра».
2000-09-08,,Албания принята во всемирную торговую организацию
2000-09-08,,"Осуществлён 99-й запуск программы «спейс шаттл» (миссия sts-106, шаттл «атлантис» к мкс)"
2000-09-08,,Генеральная ассамблея оон приняла декларацию тысячелетия.
2000-09-09,,Утверждена доктрина информационной безопасности российской федерации.
2000-09-10,,Из-за гиперинфляции эквадор отказался от национальной валюты (сукре). единственным платёжным средством в стране стал доллар сша.
2000-09-13,,Стив джобс представил на выставке apple expo в париже первую публичную бета-версию mac os x.
2000-09-14,,Корпорация microsoft выпустила новую операционную систему windows millennium edition
2000-09-14,,"Бомба, заложенная в автомобиль, взорвалась у здания фондовой биржи в джакарте (индонезия), вызвав цепную детонацию близких машин, погибло 15 человек."
2000-09-15,,В сиднее (австралия) состоялась церемония открытия xxvii летних олимпийских игр.
2000-09-16,,"На авиакосмическом салоне в киеве во время показательного полёта разбился самолёт як-52 (пилот — замглавы мид украины леонид бородич, погиб)."
2000-09-17,,Похищен и убит украинский журналист георгий гонгадзе.
2000-09-18,,"Принята директива ес 2000/53/ec, ограничивающая использование кадмия, свинца, ртути и шестивалентного хрома в автомобильной промышленности."
2000-09-19,,"В берлине совершена попытка поджога рейхстага: 22-летний немец протаранил витрины на автомобиле, начинённом бензином (атакующий задержан)."
2000-09-20,,"Власти тайваня арестовали 25-летнего чэн инь-хао, создателя печально известного компьютерного вируса cih («чернобыль»)."
2000-09-24,,"Состоялись парламентские и президентские выборы в югославии: официально объявлено, что воислав коштуница получил 48,96% голосов, слободан милошевич - 38,62%, томислав николич - 5,79%, и необходим второй тур, однако после массовых протестов 5 октября были признаны иные цифры (50,24% у коштуницы, выборы второго тура отменены)"
2000-09-24,,Во франции прошёл референдум о сокращении президентского срока с 7 до 5 лет (при явке ~30% более 73% голосов — «за»).
2000-09-26,,"Открылся новый единый веб-сайт правительства сша (объединивший около 20 тыс. правительственных сайтов, ~27 млн страниц)."
2000-09-27,,На перекрёстке нецарим (сектор газа) палестинскими боевиками взорваны два фугаса: тяжело погиб израильский солдат. это послужило началом второй интифады
2000-09-27,,"В эгейском море греческий паром «экспресс-самина» налетел на рифы у острова парос и затонул, погиб 81 человек."
2000-09-28,,"Премьер-министр израиля эхуд барак публично допустил возможность раздела иерусалима (западный - столица израиля, восточный - столица будущей палестины)"
2000-09-28,,"Лидер оппозиции ариэль шарон в сопровождении сотен полицейских посетил храмовую гору в иерусалиме, после чего палестинцы забросали полицию камнями (эскалация интифады аль-аксы)"
2000-09-28,,На референдуме в дании большинство избирателей высказались против введения евро
2000-09-28,,"Хорватские сми опубликовали открытое письмо 12 генералов, обвинивших власти в криминализации действий хорватской армии в войне 1991-1995 гг. и плохом отношении к ветеранам"
2000-09-29,,Президент степан месич отправил в отставку 7 подписавших письмо генералов.
2000-09-29,,5 октября - в результате т. н. «бульдозерной революции» в югославии слободан милошевич ушёл в отставку.
2000-10-01,,Прошла церемония закрытия олимпийских игр в сиднее
2000-10-01,,В нидерландах проституция официально легализована.
2000-10-02,2000-10-05,Государственный визит президента рф в. путина в индию: подписана декларация о стратегическом партнёрстве и 17 различных соглашений. договорено проводить ежегодные российско-индийские встречи на высшем уровне.
2000-10-06,,"В городах пятигорск и невинномысск (ставропольский край) с интервалом в пару минут произошли четыре взрыва (на автобусной остановке, на рынке и два на вокзале). погибли 4 человека, 20 получили ранения."
2000-10-08,,На парламентских выборах в литве большинство получил союз либералов (в коалиции с двумя малыми партиями)
2000-10-08,,"На президентских выборах в польше действующий президент александр квасьневский переизбран на второй срок (53,9% голосов)."
2000-10-10,,"В астане (казахстан) президенты беларуси, казахстана, кыргызстана, россии и таджикистана подписали договор об учреждении евразийского экономического сообщества (евразэс)."
2000-10-11,,"100-й старт программы «спейс шаттл» (миссия sts-92, шаттл «дискавери»)."
2000-10-12,,В рамалле (западный берег) разъярённая толпа линчевала двух резервистов израильской армии
2000-10-12,,"В порт адена (йемен) террористы-смертники на лодке атаковали американский эсминец uss cole, погибли 17 моряков, 39 ранены."
2000-10-13,,Массовое отравление метанолом в сальвадоре: 122 человека погибли.
2000-10-15,,"Парламентские выборы в словении выиграла партия «либеральная демократия» (34 из 90 мест, лидер янез дрновшек вернулся на пост премьера)"
2000-10-15,,В белоруссии состоялись выборы в палату представителей (оппозиция их бойкотировала)
2000-10-15,,"В удмуртии (рф) прошли первые прямые выборы президента: победил александр волков (37,8%)."
2000-10-16,,"Президент грузии эдуард шеварднадзе заявил, что грузия имеет право на долю имущества бывшего ссср (в 1991 россия взяла на себя долги союзных республик в обмен на их доли в активах ссср, но грузинский парламент не ратифицировал эту сделку)"
2000-10-16,,В вашингтоне (сша) состоялся «марш миллиона семей» афроамериканских общин.
2000-10-17,,"Железнодорожная катастрофа в хатфилде (великобритания): 4 человека погибли, более 70 получили ранения."
2000-10-19,,"Взрыв в штаб-квартире службы безопасности палестинской автономии в вифлееме: погибли 2 сотрудника охраны ясира арафата, 10 человек ранены."
2000-10-22,,Движение «талибан» запретило населению афганистана заниматься спортом по вечерам
